Createdon,punchCloseAt,OutageType,saifi,saidi,consumer_count_fdr,outageSubType,initialoffreason,htclosingreason,fdr_Id,fdr_name,grid_name,Relay,isemergency,israintripping,TAT,duration,dts_Id,consumer_count_fdr.1,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
2023-01-01,2023-01-01 14:52:37,Feeder,,,,Feeder Trip,Job of Operation,HT Jumper,196,R. I. G.,FEDERAL-B,YEI,0.0,NO,60,00:54:39,1320,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 16:14:14,Feeder,,,,Feeder Trip,Lead Burnt Out,Bird / Animal Electrocuted,196,R. I. G.,FEDERAL-B,REI,0.0,NO,71,01:05:10,6882,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 18:30:30,Feeder,,,,Feeder Trip,Lead Burnt Out,Bird / Animal Electrocuted,657,PAPOSH NAGAR,NORTH NAZIMABAD,REI,0.0,NO,50,00:49:28,6882,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 18:55:08,Feeder,,,,Feeder Trip,Lead Burnt Out,Bird / Animal Electrocuted,791,USMANIA COLONY,S.I.T.E,REI,0.0,NO,75,01:11:22,6882,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 18:24:07,Feeder,,,,OTFS,Forced Outage,Bird / Animal Electrocuted,2139,TRIMAX HOSPITAL(OLD COMP SCHOOL),AZIZABAD,REI,0.0,NO,16,00:12:46,6882,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 21:15:30,Feeder,,,,OTFS,Forced Outage,PMT Link,2139,TRIMAX HOSPITAL(OLD COMP SCHOOL),AZIZABAD,REI,0.0,NO,19,00:16:52,8505,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-02,2023-01-02 03:24:07,Feeder,,,,OTFS,Forced Outage,PMT Link,2156,MEMON MASJID,AZIZABAD,REI,1.0,NO,47,00:41:12,500523,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-02,2023-01-02 09:53:34,Feeder,,,,Feeder Trip,Shutdown,Bird / Animal Electrocuted,193,PYRAMID CENTER,FEDERAL-B,YEI,0.0,NO,57,00:56:13,1097,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-02,2023-01-02 12:10:41,Feeder,,,,Incoming Trip,Shutdown,VIR / Wire / Cloth etc. grounding,3905,SALMAN HEIGHT,LIAQUTABAD,YEI,0.0,NO,71,01:04:33,4685,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-02,2023-01-02 13:00:28,Feeder,,,,Incoming Trip,Shutdown,PMT Link,99,BARADARI,CIVIC CENTRE,YEI,0.0,NO,106,01:35:14,8588,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-02,2023-01-02 12:20:06,Feeder,,,,Incoming Trip,Shutdown,PMT Link,2019,DASTAGIR SOCIETY,AZIZABAD,YEI,0.0,NO,63,00:54:44,8588,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-02,2023-01-02 12:45:02,Feeder,,,,Incoming Trip,Shutdown,PMT Link,553,AL-MURTAZA,LIAQUTABAD,YEI,0.0,NO,30,00:28:23,536176,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-02,2023-01-02 16:20:48,Feeder,,,,OTFS,Forced Outage,PMT Link,339,AL-AZMAT,GULSHAN,YEI,1.0,NO,49,00:49:39,8637,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-02,2023-01-02 16:20:25,Feeder,,,,OTFS,Forced Outage,PMT Link,338,PARKWALA,GULSHAN,YEI,1.0,NO,49,00:48:52,8637,,2023-01-02,27.0,11.0,18.5,4.8,45.5,0.0,0,0.0,,0,0,27.0,18.4,59.6,1018.9,0.6,5.4,188.0,16.2,7,10
2023-01-03,2023-01-03 00:35:39,Feeder,,,,Incoming Off,Grid Level Outage,VIR / Wire / Cloth etc. grounding,791,USMANIA COLONY,S.I.T.E,YEI,0.0,NO,15,00:11:00,963,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-03,2023-01-03 08:47:45,Feeder,,,,Feeder Trip,Job of Operation,HT Jumper,339,AL-AZMAT,GULSHAN,REI,0.0,NO,118,00:28:24,500398,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-03,2023-01-03 09:50:27,Feeder,,,,Feeder Trip,Job of Operation,HT Cable Lead,338,PARKWALA,GULSHAN,REI,0.0,NO,118,01:30:48,500398,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-03,2023-01-03 09:18:20,Feeder,,,,Feeder Trip,Job of Operation,HT Cable Lead,818,AL-MAROOF SWEET,Golimar,REI,0.0,NO,62,00:49:24,500398,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-03,2023-01-03 11:15:11,Feeder,,,,Feeder Trip,Planned Outage,HT Cable Lead,3103,SHAREEFABAD (P-4 RMU),AZIZABAD,BEI,0.0,NO,69,00:22:31,500468,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-03,2023-01-03 14:10:03,Feeder,,,,Feeder Trip,Shutdown,HT Cable Lead,1269,PAKISTAN COLLEGE (OLD NAZIMABAD-1),LIAQUTABAD,EI,0.0,NO,43,00:39:13,5127,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-03,2023-01-03 18:40:38,Feeder,,,,Incoming Trip,Forced Outage,Misc.,782,DYRE TEXTILE,Golimar,EI,0.0,NO,15,00:04:18,11667,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-03,2023-01-03 21:19:47,Feeder,,,,Feeder Trip,Lead Burnt Out,Misc.,779,BISMILLAH MKT.(NOORANI HOTEL),S.I.T.E,REI,0.0,NO,26,00:26:21,500398,,2023-01-03,25.0,11.0,18.2,1.3,35.6,0.0,0,0.0,,0,0,31.7,27.7,40.9,1021.4,6.5,5.0,189.5,16.5,7,10
2023-01-04,2023-01-04 09:55:49,Feeder,,,,Feeder Trip,Shutdown,HT Jumper,3103,SHAREEFABAD (P-4 RMU),AZIZABAD,REI,0.0,NO,139,02:16:50,170422,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-04 12:04:08,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,3903,CAFÉ BHANGORIA,AZIZABAD,REI,1.0,NO,24,00:24:00,526241,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-04 12:52:19,Feeder,,,,Incoming Trip,Main Jumper,PMT Link,344,KOHISTAN BUILDER (GUL-SHAMIM),AZIZABAD,REI,0.0,NO,85,00:53:06,11977,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-04 12:24:51,Feeder,,,,OTFS,Forced Outage,PMT Link,111,RUKKNUDDIN,CIVIC CENTRE,REI,1.0,NO,84,00:25:43,11977,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-04 15:15:34,Feeder,,,,OTFS,Forced Outage,PMT Link,335,NIPA PUMPING,GULSHAN,REI,1.0,NO,23,00:06:53,10337,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-04 19:30:56,Feeder,,,,Incoming Trip,Lead Burnt Out,Misc.,3547,REHBAR CLUB,JAIL,REI,0.0,NO,70,01:00:21,10274,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-04 21:49:07,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,218,COSMOS PLAZA,FEDERAL-B,REI,1.0,NO,35,00:32:45,8339,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-04 21:49:29,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,190,SAGHIR CENTER (RASHID MINHAS),FEDERAL-B,REI,1.0,NO,34,00:32:54,8339,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-04,2023-01-05 01:50:00,Feeder,,,,Feeder Trip,Shutdown,Fire/Flash/Sparking,320,NATIONAL STADIUM,GULSHAN,REI,0.0,NO,126,01:53:59,7980,,2023-01-04,24.2,12.0,17.4,-1.3,29.9,0.0,0,0.0,,0,0,39.2,27.7,42.6,1022.2,0.0,4.9,194.3,16.9,7,10
2023-01-05,2023-01-05 11:57:14,Feeder,,,,Incoming Trip,Shutdown,VIR / Wire / Cloth etc. grounding,2113,ALI SQUARE,AZIZABAD,REI,0.0,NO,41,00:39:50,4890,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 12:36:12,Feeder,,,,OTFS,Forced Outage,MISC,2094,AGHA KHAN SCHOOL,AZIZABAD,REI,1.0,NO,26,00:24:05,505751,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 12:36:17,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,2113,ALI SQUARE,AZIZABAD,REI,1.0,NO,27,00:23:59,505751,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 14:15:54,Feeder,,,,Incoming Trip,Job of Operation,Bird / Animal Electrocuted,2073,M. YOUNUS,AZIZABAD,REI,0.0,NO,90,01:29:59,500335,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 13:38:59,Feeder,,,,Incoming Trip,Job of Operation,Misc.,3904,MANZAR-E-JILANI,AZIZABAD,REI,0.0,NO,42,00:41:06,500335,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 13:37:51,Feeder,,,,Feeder Trip,Job of Operation,Misc.,2030,BALOUCH HOTEL,JAIL,BI,0.0,NO,59,00:20:05,500335,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 14:15:39,Feeder,,,,Feeder Trip,Job of Operation,HT Jumper,3547,REHBAR CLUB,JAIL,BI,0.0,NO,58,00:58:33,500335,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 14:15:34,Feeder,,,,Feeder Trip,Shutdown,Bird / Animal Electrocuted,196,R. I. G.,FEDERAL-B,YEI,0.0,NO,39,00:26:22,3002,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 14:27:31,Feeder,,,,OTFS,Forced Outage,Bird / Animal Electrocuted,223,RELAX APPARTMENT,FEDERAL-B,YEI,1.0,NO,83,00:29:15,3002,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 14:27:50,Feeder,,,,OTFS,Forced Outage,Bird / Animal Electrocuted,890,AL-NOOR SOCIETY,FEDERAL-B,YEI,1.0,NO,83,00:29:23,3002,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 15:20:47,Feeder,,,,OTFS,Forced Outage,Bird / Animal Electrocuted,339,AL-AZMAT,GULSHAN,YEI,1.0,NO,27,00:25:30,1144,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-05,2023-01-05 15:20:32,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,338,PARKWALA,GULSHAN,YEI,1.0,NO,27,00:25:04,1144,,2023-01-05,24.0,9.0,16.4,-1.9,31.9,0.0,0,0.0,,0,0,45.7,37.1,47.1,1022.0,0.0,5.1,194.5,16.8,7,10
2023-01-06,2023-01-06 06:12:55,Feeder,,,,OTFS,Forced Outage,HT Jumper,782,DYRE TEXTILE,Golimar,YEI,1.0,NO,32,00:30:46,10373,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 06:12:45,Feeder,,,,OTFS,Forced Outage,HT Jumper,813,SHAH-E-KARBALA,Golimar,YEI,1.0,NO,32,00:30:24,10373,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 07:38:09,Feeder,,,,OTFS,Forced Outage,HT Jumper,111,RUKKNUDDIN,CIVIC CENTRE,YEI,0.0,NO,30,00:13:14,1131,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 10:25:21,Feeder,,,,Incoming Trip,Planned Outage,PMT Link,657,PAPOSH NAGAR,NORTH NAZIMABAD,YEI,0.0,NO,35,00:31:39,9555,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 13:34:59,Feeder,,,,Feeder Trip,Shutdown,PMT Link,782,DYRE TEXTILE,Golimar,REI,0.0,NO,71,00:39:46,1049,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 14:00:47,Feeder,,,,Feeder Trip,Shutdown,Bird / Animal Electrocuted,813,SHAH-E-KARBALA,Golimar,YEI,0.0,NO,67,01:05:11,1049,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 14:00:14,Feeder,,,,Incoming Trip,Shutdown,Bird / Animal Electrocuted,2018,PEETAL GALI,JAIL,YEI,0.0,NO,66,00:58:34,1049,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 14:05:58,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,2100,RUFI HEAVEN,GULSHAN,YEI,1.0,NO,59,00:56:44,1049,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 17:54:32,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,3539,ALLAH NOOR,KESC HOSPITAL,YEI,1.0,NO,46,00:43:35,1164,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 23:22:37,Feeder,,,,Feeder Trip,Lead Burnt Out,Fire/Flash/Sparking,1264,LIAQUATABAD-2,LIAQUTABAD,REI,0.0,NO,101,00:39:05,1164,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-06,2023-01-06 23:29:16,Feeder,,,,Feeder Trip,Lead Burnt Out,Fire/Flash/Sparking,111,RUKKNUDDIN,CIVIC CENTRE,RYBEIT,0.0,NO,103,00:45:38,1164,,2023-01-06,25.0,12.0,17.9,-1.8,28.1,0.0,0,0.0,,0,0,41.0,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10
2023-01-07,2023-01-07 09:54:18,Feeder,,,,OTFS,Planned Outage,Fire/Flash/Sparking,347,AL-NAJEEB,GULSHAN,RYBEIT,0.0,NO,29,00:19:08,505919,,2023-01-07,27.0,15.0,19.8,-1.0,25.7,0.0,0,0.0,,0,0,40.3,24.1,43.6,1020.3,4.3,5.9,191.2,16.5,7,10
2023-01-07,2023-01-07 13:20:47,Feeder,105895,,VHL,Feeder Trip,Shutdown,HT Jumper,657,PAPOSH NAGAR,NORTH NAZIMABAD,EI,0.0,NO,117,01:46:03,2989,VHL,2023-01-07,27.0,15.0,19.8,-1.0,25.7,0.0,0,0.0,,0,0,40.3,24.1,43.6,1020.3,4.3,5.9,191.2,16.5,7,10
2023-01-07,2023-01-07 15:15:11,Feeder,105895,,VHL,OTFS,Forced Outage,HT Jumper,3016,MASKAN (OLD BHAYANI),GULSHAN,EI,1.0,NO,53,00:33:29,535258,VHL,2023-01-07,27.0,15.0,19.8,-1.0,25.7,0.0,0,0.0,,0,0,40.3,24.1,43.6,1020.3,4.3,5.9,191.2,16.5,7,10
2023-01-07,2023-01-07 18:05:46,Feeder,105895,,VHL,OTFS,Planned Outage,HT Jumper,347,AL-NAJEEB,GULSHAN,EI,0.0,NO,6,00:03:08,1371,VHL,2023-01-07,27.0,15.0,19.8,-1.0,25.7,0.0,0,0.0,,0,0,40.3,24.1,43.6,1020.3,4.3,5.9,191.2,16.5,7,10
2023-01-07,2023-01-07 21:30:18,Feeder,105895,,VHL,Incoming Off,Forced Outage,HT Jumper,1176,ARMY HOUSING-5,CIVIC CENTRE,EI,0.0,NO,32,00:27:05,925,VHL,2023-01-07,27.0,15.0,19.8,-1.0,25.7,0.0,0,0.0,,0,0,40.3,24.1,43.6,1020.3,4.3,5.9,191.2,16.5,7,10
2023-01-07,2023-01-07 21:30:57,Feeder,105895,,VHL,Incoming Off,Forced Outage,HT Jumper,1177,ARMY HOUSING-9,CIVIC CENTRE,EI,0.0,NO,31,00:27:51,925,VHL,2023-01-07,27.0,15.0,19.8,-1.0,25.7,0.0,0,0.0,,0,0,40.3,24.1,43.6,1020.3,4.3,5.9,191.2,16.5,7,10
2023-01-08,2023-01-08 02:00:55,Feeder,105895,,VHL,Incoming Off,Grid Level Outage,HT Jumper,791,USMANIA COLONY,S.I.T.E,EI,0.0,NO,119,00:08:10,521737,VHL,2023-01-08,27.0,14.0,19.3,-0.1,29.3,0.0,0,0.0,,0,0,29.5,14.8,359.7,1018.9,0.3,5.4,191.6,16.6,7,10
2023-01-08,2023-01-08 05:47:17,Feeder,105895,,VHL,Feeder Trip,Grid Level Outage,HT Jumper,2139,TRIMAX HOSPITAL(OLD COMP SCHOOL),AZIZABAD,RYIT,0.0,NO,60,00:51:37,521737,VHL,2023-01-08,27.0,14.0,19.3,-0.1,29.3,0.0,0,0.0,,0,0,29.5,14.8,359.7,1018.9,0.3,5.4,191.6,16.6,7,10
2023-01-08,2023-01-08 08:10:28,Feeder,105895,,VHL,Feeder Trip,Grid Level Outage,VIR / Wire / Cloth etc. grounding,2035,HEF SCHOOL,AZIZABAD,YI,0.0,NO,76,00:42:53,521737,VHL,2023-01-08,27.0,14.0,19.3,-0.1,29.3,0.0,0,0.0,,0,0,29.5,14.8,359.7,1018.9,0.3,5.4,191.6,16.6,7,10
2023-01-08,2023-01-08 10:40:28,Feeder,105895,,VHL,Feeder Trip,Voltage Fluctuation,Bird / Animal Electrocuted,196,R. I. G.,FEDERAL-B,YEI,0.0,NO,72,00:51:19,500514,VHL,2023-01-08,27.0,14.0,19.3,-0.1,29.3,0.0,0,0.0,,0,0,29.5,14.8,359.7,1018.9,0.3,5.4,191.6,16.6,7,10
2023-01-08,2023-01-08 13:10:39,Feeder,105895,,VHL,Incoming Trip,Planned Outage,PMT Link,775,DISTRICT OFFICE(HABIB INDUSTRY),S.I.T.E,YEI,0.0,NO,35,00:31:45,500514,VHL,2023-01-08,27.0,14.0,19.3,-0.1,29.3,0.0,0,0.0,,0,0,29.5,14.8,359.7,1018.9,0.3,5.4,191.6,16.6,7,10
